Sample_Project,Lane,Sample_Name,Sample_ID,CR_ID,HTO_index_name,Visit,FC_Name,FC_Name_prot,FC_Name_VDJ
Test_data,*,Su5_01_B_cells,S57,CR8,HTO_1,1,220105_A00243_0147_BH3GJHDSX3,220105_A00243_0147_BH3GJHDSX3,220105_A00243_0147_BH3GJHDSX3
Test_data,*,Su5_03_B_cells,S58,CR8,HTO_2,3,220105_A00243_0147_BH3GJHDSX3,220105_A00243_0147_BH3GJHDSX3,220105_A00243_0147_BH3GJHDSX3
Test_data,*,Su6_01_B_cells,S59,CR8,HTO_3,1,220105_A00243_0147_BH3GJHDSX3,220105_A00243_0147_BH3GJHDSX3,220105_A00243_0147_BH3GJHDSX3
Test_data,*,Su6_03_B_cells,S60,CR8,HTO_4,3,220105_A00243_0147_BH3GJHDSX3,220105_A00243_0147_BH3GJHDSX3,220105_A00243_0147_BH3GJHDSX3
Test_data,*,Su7_01_B_cells,S61,CR8,HTO_5,1,220105_A00243_0147_BH3GJHDSX3,220105_A00243_0147_BH3GJHDSX3,220105_A00243_0147_BH3GJHDSX3
Test_data,*,Su7_03_B_cells,S62,CR8,HTO_6,3,220105_A00243_0147_BH3GJHDSX3,220105_A00243_0147_BH3GJHDSX3,220105_A00243_0147_BH3GJHDSX3
Test_data,*,Su8_01_B_cells,S63,CR8,HTO_7,1,220105_A00243_0147_BH3GJHDSX3,220105_A00243_0147_BH3GJHDSX3,220105_A00243_0147_BH3GJHDSX3
Test_data,*,Su8_03_B_cells,S64,CR8,HTO_8,3,220105_A00243_0147_BH3GJHDSX3,220105_A00243_0147_BH3GJHDSX3,220105_A00243_0147_BH3GJHDSX3
